timestamp,message
1667163809403,"START RequestId: 594655b5-1896-4221-8055-ec1944d02d13 Version: $LATEST
"
1667163809584,"2022-10-30T21:03:29.584Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	JWT DECODED ::: {""workLoadMetric"":""NetworkIn_Average"",""Key"":""DVD-testing.json"",""requestParams"":{""batchUnit"":""10"",""batchSize"":""1"",""batchId"":""1"",""rwfID"":""{{$timestamp}}""}}
"
1667163809584,"2022-10-30T21:03:29.584Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	bucket:poc-assignment-1-data-source fileName: DVD-testing.json
"
1667163809864,"2022-10-30T21:03:29.864Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	<Buffer 0a 9d 02 65 79 4a 68 62 47 63 69 4f 69 4a 49 55 7a 49 31 4e 69 49 73 49 6e 52 35 63 43 49 36 49 6b 70 58 56 43 4a 39 2e 65 79 4a 33 62 33 4a 72 54 47 ... 299 more bytes>
"
1667163809864,"2022-10-30T21:03:29.864Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	encoded ::: {""statusCode"":200,""headers"":{""Content-Type"":""application/x-protobuf""},""body"":""Cp0CZXlKaGJHY2lPaUpJVXpJMU5pSXNJblI1Y0NJNklrcFhWQ0o5LmV5SjNiM0pyVEc5aFpFMWxkSEpwWXlJNklrNWxkSGR2Y210SmJsOUJkbVZ5WVdkbElpd2lTMlY1SWpvaVJGWkVMWFJsYzNScGJtY3Vhbk52YmlJc0luSmxjWFZsYzNSUVlYSmhiWE1pT25zaVltRjBZMmhWYm1sMElqb2lNVEFpTENKaVlYUmphRk5wZW1VaU9pSXhJaXdpWW1GMFkyaEpaQ0k2SWpFaUxDSnlkMlpKUkNJNkludDdKSFJwYldWemRHRnRjSDE5SW4xOS5VQzFQQ0VMQzNYUnJkZ3A5cUtNZkhiTENNXy1JWTdSeDZfVHJWaGxQcU5rEhFOZXR3b3JrSW5fQXZlcmFnZRoQRFZELXRlc3RpbmcuanNvbiIWCgIxMBIBMRoBMSIKMTY2NzE2MzgwOA=="",""isBase64Encoded"":true}
"
1667163811325,"2022-10-30T21:03:31.325Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	startLimit  10end Limit  20batch Size  1result length  10total batch 1275.1
"
1667163811325,"2022-10-30T21:03:31.325Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	[{""CPUUtilization_Average"":""46"",""NetworkIn_Average"":""169447260"",""NetworkOut_Average"":""156838694"",""MemoryUtilization_Average"":""64.67502117"",""Final_Target"":""52.92678989""},{""CPUUtilization_Average"":""42"",""NetworkIn_Average"":""154398003"",""NetworkOut_Average"":""142359690"",""MemoryUtilization_Average"":""65.7851935"",""Final_Target"":""51.42673072""},{""CPUUtilization_Average"":""40"",""NetworkIn_Average"":""149978474"",""NetworkOut_Average"":""137608446"",""MemoryUtilization_Average"":""67.04570097"",""Final_Target"":""51.10446985""},{""CPUUtilization_Average"":""40"",""NetworkIn_Average"":""158671698"",""NetworkOut_Average"":""145170474"",""MemoryUtilization_Average"":""66.85755633"",""Final_Target"":""51.28884447""},{""CPUUtilization_Average"":""43"",""NetworkIn_Average"":""181068224"",""NetworkOut_Average"":""165734133"",""MemoryUtilization_Average"":""63.77766568"",""Final_Target"":""50.97102676""},{""CPUUtilization_Average"":""46"",""NetworkIn_Average"":""214456134"",""NetworkOut_Average"":""196690702"",""MemoryUtilization_Average"":""57.46502898"",""Final_Target"":""49.38309564""},{""CPUUtilization_Average"":""48"",""NetworkIn_Average"":""250985113"",""NetworkOut_Average"":""230492650"",""MemoryUtilization_Average"":""48.75368814"",""Final_Target"":""46.16855468""},{""CPUUtilization_Average"":""47"",""NetworkIn_Average"":""278768804"",""NetworkOut_Average"":""255901358"",""MemoryUtilization_Average"":""39.05900475"",""Final_Target"":""41.31137265""},{""CPUUtilization_Average"":""44"",""NetworkIn_Average"":""287311059"",""NetworkOut_Average"":""263266014"",""MemoryUtilization_Average"":""29.74070098"",""Final_Target"":""35.16686563""},{""CPUUtilization_Average"":""38"",""NetworkIn_Average"":""273738262"",""NetworkOut_Average"":""250326574"",""MemoryUtilization_Average"":""21.73742498"",""Final_Target"":""28.53960223""}]
"
1667163811325,"2022-10-30T21:03:31.325Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	 wlMetric :::   NetworkIn_Average   
"
1667163811382,"2022-10-30T21:03:31.381Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	filteredData ::: [{""NetworkIn_Average"":""169447260""},{""NetworkIn_Average"":""154398003""},{""NetworkIn_Average"":""149978474""},{""NetworkIn_Average"":""158671698""},{""NetworkIn_Average"":""181068224""},{""NetworkIn_Average"":""214456134""},{""NetworkIn_Average"":""250985113""},{""NetworkIn_Average"":""278768804""},{""NetworkIn_Average"":""287311059""},{""NetworkIn_Average"":""273738262""}]
"
1667163811382,"2022-10-30T21:03:31.382Z	594655b5-1896-4221-8055-ec1944d02d13	INFO	Average :::211882303.1
"
